,open,high,low,close,volume,idx_stamp,VWAP_D
2021-08-30 03:30:00,3183.39,3186.15,3172.43,3180.11,6759.383,2021-08-30 03:30:00,3166.7498045857515
2021-08-30 04:00:00,3180.12,3191.8,3174.56,3191.49,7073.174,2021-08-30 04:00:00,3168.721488235148
2021-08-30 04:30:00,3191.49,3203.89,3185.98,3194.1,6505.0116,2021-08-30 04:30:00,3170.959497068647
2021-08-30 05:00:00,3194.09,3198.13,3185.3,3186.69,4600.2286,2021-08-30 05:00:00,3172.0569055676438
2021-08-30 05:30:00,3186.69,3191.42,3178.31,3180.63,5610.7656,2021-08-30 05:30:00,3172.803948778703
2021-08-30 06:00:00,3180.63,3185.78,3177.05,3182.01,6889.3088,2021-08-30 06:00:00,3173.4601789208773
2021-08-30 06:30:00,3182.01,3195.92,3178.21,3191.87,6562.3745,2021-08-30 06:30:00,3174.4676968892836
2021-08-30 07:00:00,3191.88,3195.4,3170.78,3171.84,6126.8281,2021-08-30 07:00:00,3174.7515320976268
2021-08-30 07:30:00,3171.84,3189.44,3166.14,3187.49,9417.4581,2021-08-30 07:30:00,3175.266971978727
2021-08-30 08:00:00,3187.48,3188.93,3153.81,3155.52,11455.5781,2021-08-30 08:00:00,3174.4326275145754
2021-08-30 08:30:00,3155.51,3176.15,3154.47,3159.0,8515.5691,2021-08-30 08:30:00,3173.7222054212834
2021-08-30 09:00:00,3158.99,3174.86,3149.14,3161.01,10709.5822,2021-08-30 09:00:00,3172.833700261154
2021-08-30 09:30:00,3161.01,3179.76,3157.86,3176.99,8403.9748,2021-08-30 09:30:00,3172.7627698214833
2021-08-30 10:00:00,3176.99,3185.24,3171.16,3178.32,7959.0975,2021-08-30 10:00:00,3173.0324765284754
2021-08-30 10:30:00,3178.33,3180.0,3164.0,3169.53,8884.0146,2021-08-30 10:30:00,3172.9357886251632
2021-08-30 11:00:00,3169.53,3181.04,3166.29,3177.47,8760.0536,2021-08-30 11:00:00,3173.033394462674
2021-08-30 11:30:00,3177.47,3224.56,3177.47,3217.64,24119.9401,2021-08-30 11:30:00,3177.008747054796
2021-08-30 12:00:00,3217.86,3249.0,3213.7,3248.73,21477.0109,2021-08-30 12:00:00,3182.7519835477688
2021-08-30 12:30:00,3248.73,3269.0,3239.37,3268.62,27705.9931,2021-08-30 12:30:00,3191.1153737940044
2021-08-30 13:00:00,3268.61,3274.78,3255.74,3264.91,21951.6949,2021-08-30 13:00:00,3197.0346627092217
2021-08-30 13:30:00,3264.91,3293.7,3261.26,3290.86,18092.78514,2021-08-30 13:30:00,3202.2842851140617
2021-08-30 14:00:00,3290.71,3300.0,3278.3,3288.37,19921.32,2021-08-30 14:00:00,3207.8044164117746
2021-08-30 14:30:00,3288.37,3324.92,3288.32,3323.75,25343.79082,2021-08-30 14:30:00,3215.644449485993
2021-08-30 15:00:00,3323.76,3343.75,3297.61,3312.99,50725.95087,2021-08-30 15:00:00,3229.0200992299265
